productId,productName,categoryName
B0B6LT4ST4,"Sky Max 2.0 Softside Expandable Luggage with Spinner Wheels, Blue, Checked-Medium, 24 Inch",Suitcases
B089CZ9N1M,"Reaction ""Madison Square"" Women's Lightweight Hardside Chevron Expandable Spinner Luggage, 28-inch Checked, Black With Gold Zippers",Suitcases
B08N814FSS,"Clavel Hardside Expandable Luggage with Spinner Wheels, Blue Jean, Checked-Medium 25 Inch",Suitcases
B0CCCTL2ZM,Luggage Aluminium Frame Suitcase PC ABS Hard Shell TSA Lock No Zipper 28In Haze Blue,Suitcases
B07YH2XB8B,Subterra Carry On Spinner,Suitcases
B0BPS6ZSZ9,Luggage PC ABS Hardside Lightweight Suitcase with 4 Universal Wheels TSA Lock Checked-Large 28 Inch Black,Suitcases
B0BFQLJVM1,"20 Inch Carry On with Front Pocket, 22x14.6x10in, 45L, Lightweight ABS+PC Hardshell Suitcase with TSA Lock, YKK Zipper & 4 Spinner Silent Wheels, Orange",Suitcases
B09QYJ9TLJ,"Grace Luggage, 28” Hardside Suitcase, ABS+PC Harshell Spinner Luggage with TSA Lock, Spinner Wheels - Black, 28 Inch",Suitcases
B0B3HZPKMS,19 Degree Short Trip Expandable 4 Wheeled Packing Case - Navy,Suitcases
B0BP6D16P3,"Carry On Luggage Airline Approved, Softside Suitcase with Spinner Wheels 20 Inch Small Lightweight Carry-on Luggage with Front Pockets, Women Men Business Travel (Black)",Suitcases
B07ZSWKZYN,"Moonlight Hardside Expandable Luggage with Spinner Wheels, Black Marble, Checked-Large 28-Inch",Suitcases
B0BRSNNR32,28 Inch Luggage Softside Expandable Luggage Checked luggage Large Suitcase with Lock Travel Luggage Suitcases with Wheels Upright Rolling Luggage for Women Men Weekender,Suitcases
B0C2JQWZRZ,"Sky Lite Softside Expandable Luggage with Spinner Wheels, Green, Checked-Large 28 Inch",Suitcases
B07MGGMX8N,Alpha 3 Medium Trip Expandable 4-Wheeled Packing Case - Large Suitcase with Top and Side-Grab Handles - Black,Suitcases
B0C7BF9GRR,Multifunctional 26 Inch Checked Luggage Hard Shell Suitcases with Wheels Tsa Approved Luggage Large Suitcase Travel Luggage for Women & Men Rolling Luggage Bags for Weekender(Blackish Green),Suitcases
B0CCNRN9B1,"3 Pieces Thicken Clear Luggage Cover Protector, 20"" 24"" 28"" PVC Luggage Covers for Suitcase Waterproof Dustproof Anti-scratch Travel Suitcase Covers Case for Wheeled Luggage",Suitcases
B07QZLJBNK,"Crew Versapack Softside Expandable 8 Spinner Wheel Luggage, USB Port, Men and Women, Perfect Plum, Checked Large 29-Inch",Suitcases
B07HGHBMSS,"Tourlite Softside Expandable Upright 2 Wheel Luggage, Lightweight Suitcase, Men and Women, Black, Carry-On 22-Inch",Suitcases
B0C148Z9RT,"24 Inch Suitcase with Separate Compartment, Water-resistant Large Suitcase with Spinner Wheels, TSA Lock, Business Classic Travel Suitcase, Black",Suitcases
B0BBQ8MWV8,B|Y Ulisse Spinner Suitcase - 21 Inch Carry-On Luggage - Hard Exterior and TSA-Approved Lock,Suitcases
B09TSJ4G8V,"3 Pieces Clear Luggage Cover PVC Suitcase Luggage Cover Protector Waterproof Cover for Luggage Cover (Black Border, Regular Style)",Suitcases
B0BTL1LDHN,"29 Inch Luggage Suitcases With Spinner Wheels Lightweight PC hardside Rolling Suitcase With TSA Lock, Checked-Large 29-Inch（Cuba Sand）",Suitcases
B0BNJ4MDB4,"Checked Luggage Wide Handle Luxury Design Rolling Travel Suitcase PC Hardside with Aluminum Frame Hollow Spinner Wheels, with Cover, 24 inch, Smoke White",Suitcases
B0CDXDV1BB,"Hard Sided Luggage with Spinner Wheels,Expandable Suitcases with TSA Lock (28"" Checked-Large, Deep Blue)…",Suitcases
B07414Y4CF,"Luggage Protector Suitcase Cover PVC Waterproof Travel Suitcase Fits Most 20"" to 30""(28"")",Suitcases
B01N4R4WTI,Croco PVC Designer Luggage - Lightweight Expandable 28 Inch Suitcase for Women - Large Durable Bag with 4-Rolling Spinner Wheels (Burgendy),Suitcases
B0BXS556Z8,"Checked Luggage 24 inch, 100% PC Large Suitcase with Wheels, Hardside Suitcase TSA Approved Medium Hard Case Travel Luggage (Beige)",Suitcases
B09DTRZ57Q,"Reaction Diamond Tower Luggage Lightweight Hardside Expandable 8-Wheel Spinner Travel Suitcase, Black, 28-Inch Checked",Suitcases
B07DNJPVK4,"25"" Upright Luggage with 8 Spinner Wheels, Clay",Suitcases
B09GFLYP5H,"Luggage, Aluninum Hardside Suitcase With TSA Lock (Silver, 25 inch Check-In Medium)",Suitcases
B09K7GXLVT,Luggage Sets (Only 28in Expandable)Carry on Suitcase with Spinner Wheels,Suitcases
B0C3C9W1NZ,"28 Inch Luggage, Expandable Suitcase Checked Luggage, PC Hard Case Luggage with TSA Lock Spinner Wheels YKK Zippers (Green)",Suitcases
B07VC7SJFM,"Star Wars Hardside Spinner Wheel Luggage, Intergalactic, Checked-Large 28-Inch",Suitcases
B0C6J52B9G,"20 Inch suitcase, Travel Case, User-Friendly Front Door, Usb Charging, Silent Wheel, Tsa Lock, Hook, Phone Holder, Dry Wet Separation, Pc Material, Aluminum Frame, Multi Lever, Cup Holder",Suitcases
B0BJ2VD445,Evolve SE Hardside Expandable Luggage with Spinners | Alpine Green | 2PC SET (Carry-on/Medium),Suitcases
B0BFF5YT3L,"3 Pieces Travel Luggage Cover Suitcase Protector Anti Scratch Suitcase Cover Washable Baggage Covers (Vintage Theme, Medium Size)",Suitcases
B0CFYX6FVC,"Spinners, Plum, 29-inch Baseline Large Expandable",Suitcases
B09X5ZGJR2,"Sugar Skull Travel Suitcase with Wheels - Spinner Rolling Luggage Bag for Traveling - 14.2"" x 21.5"" x 8.7"" Hard Shell Spinner Carry On Baggage for Vacations, Weekender, Traveler Calavera Skeleton Bags",Suitcases
B07YH2NJ7R,Subterra Spinner 63cm/25 Black,Suitcases
B0BYZRSR65,26 Inch Luggage Large Suitcase With Spinner Wheels Tsa Luggage Suitcases Traveler's Choice Hard Case Luggage For Women & Men Rolling Checked Luggage(Graphite Grey),Suitcases
B09NXHMK5L,"Duo-Tone 31"" Softside Checked 8 Wheel Spinner, Peach/Sea Teal",Suitcases
B0BHZP6K1Z,3 Pieces Clear Luggage Cover Suitcase Cover Luggage Protector Suitcase Cover for Luggage Set of 3 Luggage Covers for Suitcase (20-24-28Inch),Suitcases
B09NXM54Z5,"Duo-Tone 27"" Softside Checked 8 Wheel Spinner, Fuschia Red/Magnet",Suitcases
B08R6PWN3R,"Ultimax 30"" Hardside Spinner Trunk Luggage,Expandable, Teal",Suitcases
B07PJVHZ1P,"B|Y Ulisse Expandable Spinner Suitcase - 28"" & 30"" Inch Travel Luggage with TSA-Approved Lock and Hardside Exterior - Multiple Color Options",Suitcases
B09R2MH2MH,"Cruise 3.0 Hardside Expandable Luggage with Spinner Wheels, Platinum, Checked-Medium 24 Inch",Suitcases
B0BN6VDMSD,"Census 32"" Softside Checked 8 Wheel Spinner, Grey Skin",Suitcases
B0C2YKR496,"Carry on Luggage, Mixi Suitcase Spinner Wheels Luggage Hardshell Lightweight Rolling Suitcases PC with Cover & TSA Lock for Business Travel",Suitcases
B0C61GCR5S,Luggage Expandable PC ABS Durable Hardside Suitcase with Spinner Wheels TSA Lock Checked-Large 28 Inch LightGreen,Suitcases
B0C5ND2298,"8028 Hardside Expandable Spinner Luggage, Black/White, Checked-Large 28-Inch",Suitcases
B0BJDWDT8T,"Suitcase, 20"" Carry On Luggage 14"" Mini Cosmetic Cases Luggage Sets Hardside PC ABS Lightweight USB Suitcase with Wheels TSA (2 Piece Set 14/20, White)",Suitcases
B0BPSD2252,"Luggage Hard Shell Suitcases Airline Approved Carry On Luggage 22x14x9 TSA Approved Luggage Suite Case with Wheels Travel Luggage Wide Handle 20 Inch Suitcase for Women Man, White",Suitcases
B07QC16SCF,Clear PVC Suitcase Cover Protectors 28 Inch Transparent Travel Luggage Covers for Suitcase Tsa Approved,Suitcases
B0BCPJZXM3,"Intrepid 32"" Softside Checked 8 Wheel Expandable Spinner with TSA Lock, Black",Suitcases
B06XB2ZKVN,Designer Luggage - Checked Large 28 Inch Softside Suitcase - Expandable for Extra Packing Capacity - Lightweight Bag with Rolling Spinner Wheels (Harlo Black),Suitcases
B082VWS452,"St. Tropez Hardside Expandable Luggage with Spinner Wheels, Pink, Checked-Large 28 Inch",Suitcases
B087H47ZWP,"REACTION Renegade_Collection, Cilantro, 24-Inch Checked",Suitcases
B07G4SRQC8,"Standard, Black, std",Suitcases
B0BN4DQ2YC,"Cascade Hardside Expandable Luggage Wheels, Purple Haze, 24-Inch Spinner",Suitcases
B0B4V7S4NM,"Lares Softside Expandable Luggage with Spinner Wheels, Purple, Checked 30-Inch",Suitcases
B0B7WSMJXY,Travelkin Luggage Cover Washable Suitcase Cover Suitcase Protector Anti-scratch Suitcase cover Fits 18-32 Inch Luggage(L for 26-28 Inch Luggage),Suitcases
B07JQ9H54X,26 Inch Checked Luggage Collection - Expandable Scratch Resistant (ABS + PC) Hardside Suitcase - Designer Lightweight Bag with 8-Rolling Spinner Wheels (Stripe Roses),Suitcases
B071YF98T8,"Luggage Large 28"" Expandable Softside Suitcase With Spinner Wheels (28in, Legends Turquoise)",Suitcases
B09VYKMQ7M,"Intervolve 32"" Hardside Checked 8 Wheel Expandable Spinner, Dark Olive",Suitcases
B07FQSF6H7,"30 Inch Checked Luggage Collection - Expandable Scratch Resistant (ABS + PC) Hardside Suitcase - Designer Lightweight Bag with 8-Rolling Spinner Wheels (Flamingo Strut, 30in)",Suitcases
B073V9DJ3F,"Melbourne Hardside Expandable Spinner Wheel Luggage, Two Tone Blue, 2-Piece Set (20/28)",Suitcases
B08Y19BQHQ,"Travelkin Luggage Covers For Suitcase Tsa Approved,Suitcase Cover Protector Fit 18-32 Inch Luggage",Suitcases
B07ZLM6KM7,Luggage Cover Suitcase Cover Suitcase Protector Fit 26-28 Inch Luggage,Suitcases
B0B3M4Z4GN,"Expectant 32"" Softside Checked 8 Wheel Expandable Spinner, Red",Suitcases
B07TVP1HGP,"Star Wars Hardside Spinner Wheel Luggage, Galaxy, Checked-Large 28-Inch",Suitcases
B0BC8J3NQ4,"Luggage Cover Suitcase Cover Protector Luggage Protector Suitcase Cover Clear Luggage Cover Trunk Luggage Covers for Suitcase (Transparent, 32inch)",Suitcases
B09F752LXD,"Maker Hardside Spinner Luggage, Navy/Yellow, Checked-Large 29-Inch",Suitcases
B0B6JLSY1G,"20/24/28 inch Set PVC Luggage Protector Covers,Clear Suitcase Cover Protector,20 Inch Transparent Luggage Protective Cover Case for Wheeled Suitcase",Suitcases
B0BZ5BV143,"8018 Hardside Expandable Luggage with Spinner Wheels, Black, Checked-Large 27-Inch",Suitcases
B00J9YQM0U,"Spinner (82 cm-122 L), Grey (Graphite), XL (82cm-122L)",Suitcases
B0BYTG7MSY,"8090 Hardside Expandable Luggage with Spinner Wheels, Black, Checked-Large 28-Inch",Suitcases
B07YH2MZR7,"Subterra Luggage 55cm/22""",Suitcases
B0C951YYJ5,"MaXpace 31"" Softside UltraLight Checked Spinner, Dark Brown Camo",Suitcases
B0BJCY9LD2,Luggage Sets 3 Piece PC ABS Hardside Lightweight Suitcase with 4 Universal Wheels TSA Lock Carry On 20 24 28 Inch Violet Purple,Suitcases
B09F73C5RC,"Birch Hardside Spinner Luggage, Navy/Orange, Checked-Large 29-Inch",Suitcases
B09VYL7DVR,"Encompass 31"" Hardside Checked 8 Wheel Expandable Spinner, Cream",Suitcases
B0C8BRBK8C,Alpha 3 Short Trip Expandable 4 Wheeled Packing Case,Suitcases
B0BS91QXJQ,"Suitcase Spinner Wheels 26'' Checked Luggage Hardshell Lightweight Rolling Suitcases PC with Cover & TSA Lock for Business Travel, Avocado Green",Suitcases
B07BK6TCKY,"Softside Replacement Luggage Suitcase Spinner Wheels, Pack of 4, One Size, Black",Suitcases
B0849FZHLN,"Zoom Turbo Softside Expandable Spinner Wheel Luggage, Black, Checked-Medium 25-Inch",Suitcases
B084XTGNT6,"Reaction Chelsea Luggage Chevron, Black, 24-Inch Checked",Suitcases
B0BH6N9WMT,"Airconic Hardside Expandable Luggage with Spinners, Deep Orchid, 2PC SET (Carry-on/Large)",Suitcases
B07CC61F2D,"Hardside Spinner Luggage With Built-In TSA Lock, 21-Inch, Carry-on, Navy Blue",Suitcases
B00S087RPU,"Printed Luggage Cover, Black, Large",Suitcases
B0BH9DL82Y,"4 KIX 2.0 Softside Expandable Luggage with Spinners, Black, 3PC (CO/MED/LG)",Suitcases
B0BZL1YHWR,Clear Suitcase Cover - 20 24 26 28 30 Inch Waterproof PVC Suitcase Cover - Transparent Travel Suitcase Wrap - Protective Cover Case for Wheeled Luggage (28-Inch),Suitcases
B09P325QVM,"Freeland Carry On Luggage with X-Large Spinner Wheels, Expandable Hardside Travel Luggage, Rolling Suitcase TSA Approved (20-Inch, Yellow)",Suitcases
B09V8YQWGT,"Divinity II 28"" Softside Checked 8 Wheel Spinner, Black",Suitcases
B083T859X8,"Disney Softside Luggage with Spinner Wheels, Minnie Mouse Denim, Checked-Large 28-Inch",Suitcases
B089DJ363K,"7585 Hardside Expandable Luggage with Spinner Wheels, Silver, Checked-Medium 23-Inch",Suitcases
B0BXLLHHVG,Carry On Luggage Airline Approved Hard Shell Suitcase with Spinner Wheels TSA Luggage Travel Suitcases Wide Handle for Men Women(Graphite Grey),Suitcases
B0BNZ86C8J,Clear PVC Luggage Cover Protectors 30 Inch Suitcase Cover for Suitcase TSA Approved 29-32Inch (27.16''H x 20.27''L x 12.40''W),Suitcases
B09V99P3M3,"Citywide 33"" Softside Checked 8 Wheel Spinner, Charcoal",Suitcases
B07YFP1ZRQ,Full Transparent Luggage Protector Cover Thicken Suitcase Protector Cover,Suitcases
B0BW1XS499,"SWERV DLX 28-Inch Tall Lightweight Hardside Travel Suitcase with 4 Spinner Wheels, Telescoping Handle, and TSA Lock, Solar Rose",Suitcases
B0BFK6ZQT1,"Elevate 32"" Hardside Checked 8 Wheel Expandable Spinner, Ice Blue",Suitcases
B094SRR3VV,"Mountain Products Quadro Pro Hardcase, 28, Total Black",Suitcases
B0723FCPPQ,"Expandable Hardside Spinner Luggage, Black, Carry-on 21-Inch",Suitcases
B07Q6MMW6V,26 Inch Luggage Cover Protector Bag PVC Clear Plastic Suitcase Cover Protectors Travel Luggage Sleeve Protector,Suitcases
B079SDF8Y7,"Ultra Lite Softside Expandable Spinner, Turquoise Blue, Checked Medium 25-Inch",Suitcases
B08LDPFN1K,X-Bag Large Spinner with Frame - 25 Inch - Suitcases with Wheels - Checked Luggage - Black,Suitcases
B086GQDWQ9,"Out of Bounds, Smokey Purple, 24-Inch Checked",Suitcases
B01H19W70I,Designer Luggage Collection - Expandable 24 Inch Softside Bag - Durable Mid-sized Lightweight Checked Suitcase with 4-Rolling Spinner Wheels (Legends Turquoise),Suitcases
B00J9YQKFW,Lite-Cube - Spinner,Suitcases
B07BGVFFXL,Replacement Luggage Wheel Suitcase Repair Spinner Wheels Luggage Accessories (W149),Suitcases
